Object,Star,Star type,Mass (M⊕),Radius (R⊕),Density (g/cm3),Flux (F⊕),Teq (K),Period (days),Distance (ly),Note,index,Discovery Year,Discovery Method
DH Tau b,,,3496.13,30.26,,,,,439.6,,4452.0,2004,Imaging
POTS-1 b,,,734.16,10.55,,,,,2438.35,,4459.0,2013,Transit
HATS-2 b,,,435.42,12.58,,,,,1114.68,,4460.0,2013,Transit
HATS-3 b,,,340.4,15.48,,,,,1340.55,,4467.0,2013,Transit
WASP-75 b,,,341.03,14.23,,,,,958.44,,4483.0,2013,Transit
HAT-P-43 b,,,210.4,14.36,,,,,1723.97,,4508.0,2012,Transit
CoRoT-27 b,,,3302.11,11.29,,,,,3293.51,,4556.0,2014,Transit
Kepler-413 b,,,67.0,4.35,,,,,2762.97,,4584.0,2014,Transit
WASP-88 b,,,181.16,19.05,,,,,1707.44,,4612.0,2014,Transit
WASP-98 b,,,293.04,12.82,,,,,918.48,,4641.0,2014,Transit
WASP-99 b,,,889.92,12.33,,,,,517.23,,4648.0,2014,Transit
CoRoT-25 b,,,93.12,12.11,,,,,3597.34,,4673.0,2013,Transit
CoRoT-26 b,,,184.34,14.12,,,,,3407.29,,4675.0,2013,Transit
HAT-P-44 b,,,111.87,13.92,,,,,1133.99,,4678.0,2014,Transit
GU Psc b,,,3591.3,14.18,,,,,155.01,,4698.0,2014,Imaging
CoRoT-24 b,,,5.7,3.7,,,,,1928.47,,4715.0,2014,Transit
CoRoT-24 c,,,28.0,5.0,,,,,1928.47,,4716.0,2014,Transit
CoRoT-22 b,,,12.2,4.88,,,,,2044.54,,4735.0,2014,Transit
WASP-117 b,,,87.75,11.44,,,,,514.96,,4750.0,2014,Transit
WASP-69 b,,,92.17,12.44,,,,,162.87,,4804.0,2014,Transit
WASP-84 b,,,220.0,10.72,,,,,327.92,,4815.0,2014,Transit
Kepler-289 d,,,4.0,2.68,,,,,2296.47,,4826.0,2014,Transit
HIP 116454 b,,,11.82,2.53,,,,,203.58,,4843.0,2014,Transit
CoRoT-28 b,,,152.88,10.71,,,,,2497.76,,4971.0,2015,Transit
CoRoT-29 b,,,270.16,10.09,,,,,2629.21,,4973.0,2015,Transit
HD 100546 b,,,2701.54,77.34,,,,,357.55,,4985.0,2014,Imaging
HAT-P-55 b,,,189.43,14.84,,,,,1667.12,,5043.0,2015,Transit
HATS-8 b,,,43.86,9.79,,,,,2590.52,,5051.0,2015,Transit
WASP-83 b,,,95.35,11.66,,,,,883.8,,5062.0,2015,Transit
HAT-P-56 b,,,603.88,16.43,,,,,1045.28,,5190.0,2015,Transit
HATS-14 b,,,339.76,11.65,,,,,1672.42,,5225.0,2015,Transit
WASP-47 e,,,9.1,1.82,,,,,863.18,,5280.0,2015,Transit
Kepler-453 b,,,16.0,6.2,,,,,1443.68,,5301.0,2015,Transit
GJ 1132 b,,,1.62,1.16,,,,,41.12,,5307.0,2015,Transit
HAT-P-51 b,,,98.21,14.49,,,,,1434.69,,5330.0,2015,Transit
WASP-135 b,,,603.88,14.57,,,,,972.18,,5358.0,2015,Transit
KELT-4 A b,,,286.05,19.05,,,,,710.84,,5455.0,2016,Transit
KELT-14 b,,,380.12,17.04,,,,,815.39,,5464.0,2016,Transit
K2-30 b,,,187.2,11.98,,,,,1085.72,,5509.0,2016,Transit
K2-34 b,,,563.51,16.14,,,,,1136.59,,5543.0,2016,Transit
WASP-124 b,,,190.7,13.9,,,,,1462.56,,5564.0,2016,Transit
WASP-129 b,,,317.83,10.42,,,,,982.77,,5578.0,2016,Transit
Kepler-1647 b,,,483.0,11.87,,,,,3952.59,,5595.0,2016,Transit
HATS-25 b,,,194.83,14.12,,,,,1535.98,,5614.0,2016,Transit
HATS-27 b,,,168.45,16.81,,,,,2663.38,,5624.0,2016,Transit
HATS-15 b,,,689.69,12.39,,,,,3714.93,,5667.0,2016,Transit
WASP-157 b,,,182.43,11.94,,,,,1088.96,,5672.0,2016,Transit
K2-38 c,,,8.3,2.29,,,,,628.17,,5687.0,2016,Transit
WASP-113 b,,,150.97,15.79,,,,,1418.61,,5709.0,2016,Transit
BD+20 594 b,,,22.25,2.58,,,,,585.04,,5726.0,2016,Transit
HR 2562 b,,,9534.9,12.44,,,,,110.86,,5777.0,2016,Imaging
HATS-18 b,,,629.14,14.9,,,,,2035.44,,5853.0,2016,Transit
HATS-33 b,,,378.85,13.79,,,,,809.98,,5940.0,2016,Transit
HATS-35 b,,,388.39,16.41,,,,,1677.45,,5964.0,2016,Transit
WASP-136 b,,,479.92,15.47,,,,,898.41,,5978.0,2016,Transit
WASP-138 b,,,387.75,12.22,,,,,1350.4,,5984.0,2016,Transit
HATS-22 b,,,870.85,10.68,,,,,748.23,,6098.0,2017,Transit
KELT-11 b,,,61.98,15.36,,,,,323.26,,6188.0,2017,Transit
KELT-9 b,,,915.35,21.2,,,,,666.52,,6211.0,2017,Transit
HIP 65426 b,,,2860.47,16.81,,,,,354.93,,6229.0,2017,Imaging
WASP-151 b,,,98.53,12.67,,,,,1477.1,,6322.0,2017,Transit
WASP-156 b,,,41.8,6.03,,,,,397.94,,6333.0,2017,Transit
MASCARA-1 b,,,1175.97,16.81,,,,,594.21,,6347.0,2017,Transit
GJ 9827 b,,,3.42,1.62,,,,,96.69,,6350.0,2017,Transit
GJ 9827 c,,,1.45,1.24,,,,,96.69,,6359.0,2017,Transit
KELT-20 b,,,1074.9,19.52,,,,,444.75,,6373.0,2017,Transit
NGTS-1 b,,,258.08,14.91,,,,,711.07,,6379.0,2017,Transit
K2-137 b,,,158.91,0.89,,,,,322.34,,6395.0,2017,Transit
K2-139 b,,,123.0,9.06,,,,,501.57,,6412.0,2017,Transit
Kepler-80 g,,,0.07,1.05,,,,,1204.41,,6417.0,2017,Transit
HATS-50 b,,,123.95,12.67,,,,,2466.98,,6460.0,2017,Transit
HATS-52 b,,,711.94,15.49,,,,,1809.74,,6466.0,2017,Transit
K2-138 b,,,3.1,1.51,,,,,660.43,,6474.0,2017,Transit
