Object,Star,Star type,Mass (M⊕),Radius (R⊕),Density (g/cm3),Flux (F⊕),Teq (K),Period (days),Distance (ly),Note,index,Discovery Year,Discovery Method
TOI-5153 b,,,1036.12,11.88,,,,,1272.98,,9246.0,2022,Transit
TOI-1422 b,,,12.1,3.94,,,,,505.76,,9252.0,2022,Transit
CoRoT-35 b,,,349.61,18.83,,,,,3661.66,,9257.0,2022,Transit
CoRoT-36 b,,,216.12,15.8,,,,,3018.62,,9258.0,2022,Transit
HD 93963 A b,,,7.8,1.35,,,,,268.44,,9260.0,2022,Transit
HD 93963 A c,,,19.2,3.23,,,,,268.44,,9263.0,2022,Transit
GJ 3090 b,,,3.34,2.13,,,,,73.27,,9311.0,2022,Transit
HD 18599 b,,,25.5,2.7,,,,,125.72,,9313.0,2022,Transit
TOI-260 b,,,4.23,1.71,,,,,65.8,,9374.0,2024,Transit
HIP 8152 c,,,10.7,2.52,,,,,331.52,,9395.0,2023,Transit
TOI-286 b,,,4.53,1.42,,,,,193.09,,9411.0,2024,Transit
TOI-286 c,,,3.72,1.88,,,,,193.09,,9413.0,2024,Transit
TOI-411 c,,,9.72,2.33,,,,,204.66,,9526.0,2022,Transit
TOI-411 b,,,13.71,1.36,,,,,204.66,,9529.0,2022,Transit
HD 42813 b,,,5.9,3.43,,,,,222.31,,9536.0,2023,Transit
HD 25463 b,,,8.7,2.54,,,,,148.72,,9545.0,2023,Transit
HD 25463 c,,,4.3,1.36,,,,,148.72,,9548.0,2023,Transit
TOI-663 b,,,4.45,2.27,,,,,209.39,,9609.0,2024,Transit
TOI-663 c,,,3.65,2.26,,,,,209.39,,9620.0,2024,Transit
TOI-663 d,,,5.2,1.92,,,,,209.39,,9622.0,2024,Transit
TOI-669 b,,,9.8,2.6,,,,,465.75,,9624.0,2023,Transit
TOI-733 b,,,5.72,1.99,,,,,245.18,,9693.0,2023,Transit
TOI-778 b,,,878.0,15.4,,,,,527.28,,9701.0,2023,Transit
TOI-782 b,,,19.1,2.73,,,,,171.19,,9713.0,2024,Transit
TOI-969 b,,,9.1,2.77,,,,,251.85,,9795.0,2022,Transit
TOI-1135 b,,,51.42,9.02,,,,,371.8,,9862.0,2024,Transit
TOI-1136 d,,,12.3,4.62,,,,,275.59,,9865.0,2022,Transit
TOI-1173 b,,,27.4,9.19,,,,,431.47,,9881.0,2024,Transit
TOI-1194 b,,,144.93,8.6,,,,,487.91,,9893.0,2023,Transit
TOI-1199 b,,,75.96,10.51,,,,,809.87,,9896.0,2024,Transit
TOI-1221 b,,,1112.4,2.91,,,,,451.22,,9913.0,2023,Transit
HD 135694 b,,,5.7,2.51,,,,,240.82,,9920.0,2023,Transit
TOI-1288 b,,,42.0,5.24,,,,,374.46,,9957.0,2022,Transit
TOI-1295 b,,,451.32,15.69,,,,,1265.62,,9963.0,2024,Transit
TOI-1386 b,,,45.8,6.22,,,,,478.76,,10035.0,2024,Transit
TOI-1408 b,,,537.13,16.81,,,,,454.72,,10047.0,2023,Transit
TOI-1420 b,,,25.1,11.89,,,,,658.25,,10055.0,2023,Transit
HD 235088 b,,,4.2,2.08,,,,,134.22,,10067.0,2023,Transit
Kepler-41 b,,,174.8,9.98,,,,,3563.44,,10077.0,2011,Transit
TOI-1451 b,,,15.2,2.61,,,,,299.71,,10108.0,2024,Transit
TOI-1452 b,,,4.82,1.67,,,,,99.5,,10110.0,2022,Transit
HIP 9618 b,,,10.0,3.9,,,,,220.21,,10144.0,2023,Transit
HIP 9618 c,,,18.3,3.34,,,,,220.21,,10148.0,2023,Transit
TOI-1472 b,,,16.5,4.16,,,,,397.2,,10152.0,2024,Transit
HD 6061 b,,,10.8,2.45,,,,,220.44,,10154.0,2023,Transit
TOI-1669 c,,,13.0,2.3,,,,,362.76,,10229.0,2024,Transit
TOI-1694 b,,,26.1,5.44,,,,,406.46,,10249.0,2023,Transit
TOI-1695 b,,,5.5,2.03,,,,,147.13,,10253.0,2022,Transit
TOI-1723 b,,,10.4,3.29,,,,,328.37,,10258.0,2024,Transit
TOI-1736 b,,,11.9,3.05,,,,,289.97,,10261.0,2023,Transit
TOI-1751 b,,,14.5,2.77,,,,,369.47,,10272.0,2024,Transit
TOI-1775 b,,,96.0,8.05,,,,,486.5,,10295.0,2024,Transit
TOI-1776 b,,,1.4,1.22,,,,,145.55,,10297.0,2024,Transit
HD 77946 b,,,8.38,2.71,,,,,324.21,,10301.0,2024,Transit
TOI-1798.01,,,6.5,2.38,,,,,368.97,,10336.0,2024,Transit
TOI-1799 b,,,4.0,1.42,,,,,202.54,,10343.0,2024,Transit
TOI-1820 b,,,731.01,12.78,,,,,810.12,,10353.0,2022,Transit
TOI-1898 b,,,129.0,9.4,,,,,259.72,,10373.0,2024,Transit
TOI-2025 b,,,1398.44,12.52,,,,,1095.31,,10389.0,2022,Transit
TOI-2088 b,,,37.0,3.68,,,,,412.26,,10437.0,2024,Transit
TOI-2095 c,,,7.4,1.33,,,,,136.65,,10442.0,2023,Transit
TOI-2141 b,,,24.0,3.05,,,,,253.24,,10476.0,2023,Transit
TOI-2145 b,,,1671.78,11.98,,,,,732.62,,10493.0,2023,Transit
TOI-2158 b,,,260.62,10.76,,,,,647.02,,10510.0,2022,Transit
TOI-2193 A b,,,298.76,19.84,,,,,1098.83,,10536.0,2022,Transit
TOI-2236 b,,,502.17,14.37,,,,,1159.22,,10571.0,2022,Transit
TOI-2364 b,,,71.51,8.61,,,,,715.94,,10671.0,2023,Transit
TOI-2373 b,,,2955.8,10.42,,,,,1658.32,,10685.0,2023,Transit
TOI-2374 b,,,56.64,6.81,,,,,438.98,,10687.0,2024,Transit
TOI-2416 b,,,953.49,9.86,,,,,1818.21,,10737.0,2023,Transit
TOI-2447 b,,,124.91,9.61,,,,,485.7,,10756.0,2024,Transit
TOI-2458 b,,,13.31,2.83,,,,,368.24,,10769.0,2024,Transit
TOI-2498 b,,,34.62,6.06,,,,,897.36,,10826.0,2023,Transit
TOI-2570 b,,,260.62,13.64,,,,,1179.65,,10896.0,2022,Transit
TOI-2580 b,,,200.23,17.37,,,,,1236.36,,10908.0,2024,Transit
TOI-2583 A b,,,79.46,14.46,,,,,1845.78,,10910.0,2023,Transit
TOI-2589 b,,,1112.4,12.11,,,,,652.89,,10923.0,2023,Transit
TOI-2641 b,,,122.68,18.1,,,,,1121.59,,10977.0,2023,Transit
TOI-2796 b,,,139.84,17.26,,,,,1142.12,,11079.0,2023,Transit
TOI-2803 A b,,,309.88,18.11,,,,,1613.11,,11081.0,2023,Transit
TOI-2818 b,,,225.66,15.28,,,,,1019.32,,11093.0,2023,Transit
Kepler-419 b,,,794.5,10.8,,,,,3297.03,,11225.0,2014,Transit
TOI-3071 b,,,68.2,7.16,,,,,1581.81,,11247.0,2024,Transit
NGTS-27 b,,,188.47,15.65,,,,,3071.32,,11297.0,2024,Transit
TOI-3261 b,,,30.3,3.82,,,,,978.46,,11311.0,2024,Transit
TOI-3331 A b,,,721.47,12.98,,,,,708.05,,11330.0,2022,Transit
TOI-3688 A b,,,311.47,13.08,,,,,1292.19,,11443.0,2023,Transit
Kepler-307 b,,,8.81,3.01,,,,,1876.39,,11466.0,2013,Transit
TOI-3757 b,,,85.3,12.0,,,,,590.51,,11490.0,2022,Transit
TOI-3785 b,,,14.95,5.14,,,,,260.03,,11501.0,2023,Transit
TOI-3807 b,,,330.54,18.5,,,,,1374.89,,11527.0,2023,Transit
TOI-3912 b,,,129.04,14.28,,,,,1519.13,,11608.0,2023,Transit
KOI-1599.01,,,4.6,1.9,,,,,3689.15,,11647.0,2019,Transit
TOI-3984 A b,,,44.0,7.9,,,,,354.96,,11668.0,2023,Transit
TOI-4010 d,,,38.15,6.18,,,,,578.66,,11688.0,2023,Transit
TOI-4010 b,,,11.0,3.02,,,,,578.66,,11690.0,2023,Transit
TOI-4087 b,,,232.01,13.05,,,,,983.46,,11737.0,2023,Transit
TOI-4137 b,,,457.67,13.57,,,,,1092.08,,11804.0,2022,Transit
Kepler-56 b,,,236.2,6.51,,,,,2976.36,,11806.0,2012,Transit
TOI-4145 A b,,,136.67,13.3,,,,,669.56,,11822.0,2023,Transit
Kepler-282 e,,,56.2,3.1,,,,,4360.61,,11824.0,2013,Transit
TOI-4201 b,,,788.21,13.68,,,,,616.18,,11899.0,2023,Transit
NGTS-24 b,,,165.27,13.61,,,,,2226.78,,11984.0,2022,Transit
TOI-4377 b,,,304.16,15.11,,,,,1485.97,,12135.0,2023,Transit
TOI-4406 b,,,95.35,11.21,,,,,853.58,,12168.0,2023,Transit
Kepler-553 c,,,2129.45,11.58,,,,,2374.99,,12211.0,2016,Transit
TOI-4463 A b,,,252.36,13.26,,,,,564.36,,12233.0,2023,Transit
HD 20329 b,,,7.42,1.72,,,,,207.6,,12279.0,2022,Transit
Kepler-177 b,,,5.4,3.1,,,,,4679.53,,12320.0,2013,Transit
TOI-4600 b,,,959.84,6.8,,,,,704.34,,12346.0,2023,Transit
TOI-4860 b,,,86.7,8.7,,,,,261.26,,12656.0,2023,Transit
Kepler-31 c,,,29.5,4.71,,,,,5426.73,,12721.0,2011,Transit
BD-14 3065 b,,,3932.0,21.59,,,,,1921.52,,12844.0,2024,Transit
TOI-5108 b,,,32.0,6.6,,,,,426.8,,12985.0,2025,Transit
TOI-5205 b,,,343.0,11.6,,,,,281.82,,13072.0,2023,Transit
TOI-5218 b,,,657.0,9.86,,,,,1230.59,,13086.0,2024,Transit
Kepler-80 d,,,3.7,1.3,,,,,1204.41,,13116.0,2014,Transit
TOI-5232 b,,,743.72,12.78,,,,,1986.6,,13134.0,2024,Transit
TOI-5344 b,,,135.0,9.7,,,,,451.08,,13284.0,2023,Transit
TOI-5542 b,,,419.53,11.31,,,,,1137.25,,13543.0,2022,Transit
TOI-5634 A b,,,588.0,10.42,,,,,998.03,,13624.0,2024,Transit
TOI-5678 b,,,20.0,4.91,,,,,539.18,,13639.0,2023,Transit
NGTS-21 b,,,750.08,14.91,,,,,1932.82,,13922.0,2022,Transit
HD 206893 b,,,8899.2,14.01,,,,,132.87,,13960.0,2021,Imaging
NGTS-23 b,,,194.83,14.2,,,,,3504.34,,13985.0,2022,Transit
NGTS-25 b,,,203.09,11.47,,,,,1699.22,,13986.0,2022,Transit
Kepler-4 b,,,23.84,4.12,,,,,1590.61,,14007.0,2009,Transit
HD 114082 b,,,2542.63,11.21,,,,,310.97,,14032.0,2022,Radial Velocity
HD 206893 c,,,4036.42,16.36,,,,,132.87,,14059.0,2022,Imaging
TOI-1136 g,,,12.2,2.53,,,,,275.59,,14072.0,2022,Transit
TOI-6016 b,,,371.86,13.68,,,,,1188.97,,14092.0,2024,Transit
TIC 279401253 b,,,1951.47,11.21,,,,,931.0,,14251.0,2023,Transit
WASP-84 c,,,15.2,1.95,,,,,327.92,,14297.0,2023,Transit
TOI-6130 b,,,333.72,14.35,,,,,720.08,,14324.0,2024,Transit
TOI-815 c,,,23.5,2.62,,,,,194.66,,14467.0,2024,Transit
LP 791-18 d,,,0.9,1.03,,,,,86.37,,14487.0,2023,Transit
NGTS-33 b,,,1153.72,18.38,,,,,1427.41,,14582.0,2024,Transit
K2-416 b,,,1652.71,2.66,,,,,392.21,,14623.0,2023,Transit
K2-417 b,,,699.22,3.31,,,,,306.58,,14624.0,2023,Transit
HD 22946 d,,,26.57,2.61,,,,,204.66,,14701.0,2023,Transit
TOI-1470 c,,,7.24,2.47,,,,,169.36,,14708.0,2023,Transit
TOI-4600 c,,,2946.27,9.42,,,,,704.34,,14757.0,2023,Transit
HIP 29442 c,,,4.5,1.55,,,,,222.31,,14792.0,2023,Radial Velocity
HIP 29442 d,,,5.14,1.54,,,,,222.31,,14794.0,2023,Radial Velocity
GJ 806 b,,,1.9,1.33,,,,,39.27,,14956.0,2023,Transit
HD 110067 b,,,5.69,2.2,,,,,104.84,,14959.0,2023,Transit
HD 110067 c,,,6.3,2.39,,,,,104.84,,14960.0,2023,Transit
HD 110067 d,,,8.52,2.85,,,,,104.84,,14961.0,2023,Transit
HD 110067 e,,,3.9,1.94,,,,,104.84,,14962.0,2023,Transit
HD 110067 f,,,5.04,2.6,,,,,104.84,,14963.0,2023,Transit
HD 110067 g,,,8.4,2.61,,,,,104.84,,14964.0,2023,Transit
HD 88986 b,,,17.2,2.49,,,,,108.45,,14965.0,2023,Radial Velocity
Kepler-317 b,,,109.8,2.08,,,,,3066.3,,14970.0,2014,Transit
TIC 393818343 b,,,1379.38,12.18,,,,,305.57,,15026.0,2024,Transit
TOI-238 c,,,6.7,2.18,,,,,262.56,,15031.0,2024,Radial Velocity
TIC 139270665 b,,,147.15,7.23,,,,,618.99,,15179.0,2024,Transit
NGTS-26 b,,,92.81,14.89,,,,,3565.43,,15190.0,2024,Transit
Kepler-328 c,,,39.4,5.4,,,,,7215.0,,15212.0,2013,Transit
TIC 365102760 b,,,19.2,6.21,,,,,1811.08,,15240.0,2024,Transit
TIC 241249530 b,,,1582.79,13.29,,,,,1057.7,,15249.0,2024,Transit
TIC 46432937 b,,,1017.05,13.32,,,,,295.15,,15250.0,2024,Transit
TIC 4672985 b,,,4049.13,11.5,,,,,826.04,,15294.0,2024,Transit
HD 21520 b,,,17.7,2.7,,,,,258.22,,15305.0,2024,Transit
Kepler-20 d,,,10.07,2.74,,,,,921.16,,15355.0,2011,Transit
Kepler-105 c,,,3.0,1.85,,,,,1497.07,,15522.0,2014,Transit
Kepler-26 c,,,6.12,2.51,,,,,1093.1,,15578.0,2011,Transit
Kepler-25 b,,,9.6,2.71,,,,,792.99,,16379.0,2011,Transit
Kepler-93 b,,,4.54,1.57,,,,,312.67,,16659.0,2014,Transit
KOI-1783.01,,,71.0,8.86,,,,,2822.28,,16775.0,2020,Transit
Kepler-91 b,,,279.68,15.51,,,,,4220.69,,17359.0,2013,Transit
Kepler-114 c,,,40.0,1.29,,,,,846.08,,18136.0,2013,Transit
TrES-2 b,,,383.3,13.37,,,,,701.94,,18261.0,2006,Transit
Kepler-12 b,,,136.67,19.12,,,,,2873.32,,18578.0,2011,Transit
Kepler-85 b,,,1.84,1.78,,,,,2493.98,,19228.0,2012,Transit
Kepler-101 c,,,3.78,1.25,,,,,3025.22,,19606.0,2014,Transit
Kepler-20 f,,,14.3,1.03,,,,,921.16,,19617.0,2011,Transit
Kepler-34 b,,,69.92,8.56,,,,,5870.67,,19764.0,2011,Transit
Kepler-50 c,,,8.2,2.79,,,,,815.36,,19788.0,2012,Transit
Kepler-128 c,,,0.9,1.34,,,,,1292.2,,19887.0,2013,Transit
Kepler-138 b,,,0.5,0.71,,,,,217.97,,20351.0,2014,Transit
Kepler-549 b,,,11.0,3.1,,,,,2070.57,,21050.0,2016,Transit
Kepler-99 b,,,6.15,1.48,,,,,679.28,,21110.0,2014,Transit
Kepler-161 c,,,11.8,1.87,,,,,1416.9,,21324.0,2014,Transit
Kepler-414 c,,,29.9,3.01,,,,,1347.88,,24248.0,2014,Transit Timing Variations
Kepler-350 d,,,14.9,2.8,,,,,3119.36,,24749.0,2013,Transit
Kepler-85 c,,,2.15,1.98,,,,,2493.98,,24830.0,2012,Transit
Kepler-60 c,,,3.84,2.05,,,,,3341.83,,24932.0,2012,Transit
Kepler-338 e,,,8.5,1.56,,,,,1802.12,,26279.0,2014,Transit Timing Variations
Kepler-35 b,,,40.36,8.16,,,,,5930.49,,26364.0,2011,Transit
Kepler-38 b,,,122.0,4.3,,,,,3829.16,,26376.0,2012,Transit
Kepler-79 e,,,6.3,3.41,,,,,3327.55,,26623.0,2014,Transit
Kepler-101 b,,,51.1,5.77,,,,,3025.22,,26753.0,2014,Transit
Kepler-30 b,,,63.57,3.6,,,,,2980.36,,27622.0,2012,Transit
KOI-94 c,,,7.8,3.8,,,,,1555.19,,30206.0,2013,Transit
Kepler-80 b,,,3.5,2.37,,,,,1204.41,,30513.0,2012,Transit
Kepler-10 c,,,20.0,2.23,,,,,604.75,,30656.0,2011,Transit
Kepler-328 b,,,28.5,2.3,,,,,7215.0,,32015.0,2013,Transit
Kepler-454 b,,,5.4,2.37,,,,,752.63,,32314.0,2015,Transit
Kepler-170 b,,,82.6,3.08,,,,,2408.02,,32491.0,2014,Transit
Kepler-28 b,,,479.9,3.6,,,,,1429.05,,33497.0,2011,Transit
Kepler-643 b,,,321.01,12.78,,,,,3467.27,,33669.0,2016,Transit
Kepler-434 b,,,908.96,12.67,,,,,3985.48,,33728.0,2015,Transit
Kepler-211 c,,,18.3,2.45,,,,,1008.49,,33860.0,2014,Transit
Kepler-177 c,,,14.7,8.73,,,,,4679.53,,34714.0,2013,Transit
Kepler-425 b,,,79.45,10.96,,,,,2108.07,,34919.0,2014,Transit
Kepler-48 b,,,21.1,2.14,,,,,999.97,,35603.0,2012,Transit
Kepler-40 b,,,686.51,16.14,,,,,7514.33,,35805.0,2010,Transit
K2-19 d,,,14.0,1.14,,,,,944.84,,36136.0,2016,Transit
WASP-85 A b,,,402.05,13.9,,,,,462.55,,36220.0,2016,Transit
K2-114 b,,,587.99,10.56,,,,,1550.97,,36882.0,2017,Transit
K2-108 b,,,59.4,5.28,,,,,1555.98,,36956.0,2017,Transit
Kepler-197 c,,,5.3,1.23,,,,,1077.67,,37486.0,2014,Transit
Kepler-100 c,,,7.05,2.2,,,,,993.14,,37542.0,2014,Transit
Kepler-11 c,,,5.9,2.73,,,,,2107.09,,37637.0,2010,Transit
Kepler-28 c,,,10.9,2.77,,,,,1429.05,,37891.0,2011,Transit
Kepler-82 c,,,13.9,5.34,,,,,2948.1,,37920.0,2012,Transit
